,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Aquatic,Semiaquatic,Terrestrial,Scansorial,Subfossorial,Cave_dwelling,Nocturnal,Diurnal,Paedomorphic,Metamorphosizing,Direct_Development,Free_living,No_free_living,Lentic_water,Lotic_water,Both_water,No_larva
140,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Paramesotriton,hongkongensis,Paramesotriton_hongkongensis,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,yes,no
141,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Pleurodeles,poireti,Pleurodeles_poireti,no,no,yes,no,no,no,NA,NA,no,yes,no,yes,no,yes,no,no,no
142,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Pleurodeles,waltl,Pleurodeles_waltl,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no
143,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Pleurodeles,waltl_gilled,Pleurodeles_waltl_gilled,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no
144,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Salamandra,atra,Salamandra_atra,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
145,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Salamandra,salamandra,Salamandra_salamandra,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no
146,Caudata,Salamandroidea,Salamandridae,Salamandrininae,Salamandrina,terdigitata,Salamandrina_terdigitata,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
147,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Taricha,granulosa,Taricha_granulosa,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no
148,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Taricha,rivularis,Taricha_rivularis,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,no,yes,no,no
149,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Taricha,torosa,Taricha_torosa,no,yes,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no
150,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Triturus,carnifex,Triturus_carnifex,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no
151,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Triturus,cristatus,Triturus_cristatus,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no
152,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Triturus,karelinii,Triturus_karelinii,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no
153,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Tylototriton,shanjing,Tylototriton_shanjing,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no
154,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Tylototriton,taliangensis,Tylototriton_taliangensis,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no
155,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Tylototriton,verrucosus,Tylototriton_verrucosus,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no
156,Caudata,Sirenidea,Sirenidae,NA,Pseudobranchus,striatus,Pseudobranchus_striatus,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no
157,Caudata,Sirenidea,Sirenidae,NA,Siren,intermedia,Siren_intermedia,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no
158,Caudata,Sirenidea,Sirenidae,NA,Siren,lacertina,Siren_lacertina,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no
