,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Museum,SpecimenNumber,Sex,Stage,Gill_Presence,SVL_cm,SVL_mm,Mass_g,ED_left_mm,ED_right_mm,CD_left_mm,CD_right_mm,Measured_by
30,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,mexicanum,Ambystoma_mexicanum,CAS,4323,male,adult_juv,yes,11,110,33.75,4.84,4.6,3.04,3.24,Nicole_Bednarik
31,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,mexicanum,Ambystoma_mexicanum,CAS,4324,male,adult_juv,yes,13.3,133,74.32,5.55,5.66,2.65,2.86,Nicole_Bednarik
32,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,mexicanum,Ambystoma_mexicanum,MVZ,162037,male,adult_juv,yes,12.6,126,61,4.7,4.79,2.88,2.66,Nicole_Bednarik
33,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,opacum,Ambystoma_opacum,CAS,15447,NA,NA,no,6.9,69,8.68,3.95,3.72,2.78,2.82,Nicole_Bednarik
34,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,opacum,Ambystoma_opacum,CAS,15437,NA,NA,no,6.6,66,3.9,3.6,3.9,2.83,2.75,Nicole_Bednarik
35,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,opacum,Ambystoma_opacum,CAS,15444,NA,NA,no,6.8,68,6.83,3.59,3.62,2.81,2.92,Nicole_Bednarik
36,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,ordinarium,Ambystoma_ordinarium,CAS,87835,NA,NA,yes,5.5,55,6.67,2.78,2.68,2.09,2.11,Nicole_Bednarik
37,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,rosaceum,Ambystoma_rosaceum,CAS,99368,NA,NA,yes,6.4,64,11.23,3.21,3.4,2.46,2.56,Nicole_Bednarik
38,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,rosaceum,Ambystoma_rosaceum,CAS,99363,NA,NA,yes,6.2,62,11.64,3.34,3.41,2.33,2.44,Nicole_Bednarik
39,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,rosaceum,Ambystoma_rosaceum,CAS,99362,NA,NA,yes,6.3,63,11.13,4.06,3.91,2.25,2.6,Nicole_Bednarik
40,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,talpoideum,Ambystoma_talpoideum,CAS,231703,NA,NA,no,4.2,42,1.32,2.49,2.58,1.63,1.49,Nicole_Bednarik
41,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,talpoideum,Ambystoma_talpoideum,CAS,15430,NA,NA,no,5.1,51,3.39,3.22,3.29,2.38,2.18,Nicole_Bednarik
42,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,texanum,Ambystoma_texanum,CAS,73927,NA,NA,no,8,80,7.92,3.16,3.41,2.16,2.12,Nicole_Bednarik
43,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,texanum,Ambystoma_texanum,CAS,73928,NA,NA,no,8.1,81,7.51,2.93,3.26,2.03,2.2,Nicole_Bednarik
44,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,texanum,Ambystoma_texanum,CAS,73929,NA,NA,no,6.3,63,4.66,2.59,2.5,1.75,1.71,Nicole_Bednarik
45,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,tigrinum,Ambystoma_tigrinum,CAS,187376,NA,adult,no,10.7,107,26.84,5.99,6.18,4.09,4.1,Nicole_Bednarik
