"","Genus_Species","X","eye_av","cor_av","svl_av","rootmass_av","n","Order","Suborder","Family","Genus","Species","Gill_Presence","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat","pglsres.edsvl"
"23","Aneides_vagrans",28,3.45666666666667,2.47,68.6666666666667,1.57924447601026,3,"Caudata","Salamandroidea","Plethodontidae","Aneides","vagrans","no","nocturnal","scansorial","direct development","no free-living","no larva",-0.0607352824594211
"24","Batrachoseps_attenuatus",29,1.91166666666667,1.36833333333333,42.3333333333333,0.993140763736866,3,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","attenuatus","no","nocturnal","subfossorial","direct development","no free-living","no larva",-0.147886725327944
"25","Batrachoseps_major",30,2.83333333333333,1.79666666666667,48.3333333333333,1.14513734223081,3,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","major","no","nocturnal","subfossorial","direct development","no free-living","no larva",-0.0236125209534593
"26","Batrachoseps_nigriventris",31,1.82666666666667,1.24333333333333,35.6666666666667,0.805830480319564,3,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","nigriventris","no","nocturnal","subfossorial","direct development","no free-living","no larva",-0.107379821080427
"27","Batrachoseps_pacificus",32,2.03333333333333,1.40333333333333,40.3333333333333,1.02158138161905,3,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","pacificus","no","nocturnal","subfossorial","direct development","no free-living","no larva",-0.104071206147992
"28","Batrachoseps_relictus",33,2.015,1.42,39,0.862535584967474,3,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","relictus","no","nocturnal","subfossorial","direct development","no free-living","no larva",-0.0961831333014383
"29","Batrachuperus_karlschmidti",34,3.94666666666667,2.75833333333333,73.3333333333333,1.91116796903992,3,"Caudata","Cryptobranchoidea","Hynobiidae","Batrachuperus","karlschmidti","no",NA,"aquatic","metamorphosizing","free-living","lotic water",-0.0262844371568853
"30","Batrachuperus_yenyuanensis",35,4.80166666666667,3.51,85,2.39541827972683,3,"Caudata","Cryptobranchoidea","Hynobiidae","Batrachuperus","yenyuanensis","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.00695951226077707
"31","Bolitoglossa_altamazonica",36,3.4,2.395,53,1.51973910573027,1,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","altamazonica","no","nocturnal","scansorial","direct development","no free-living","no larva",0.02315610148659
"32","Bolitoglossa_engelhardti",37,3.30333333333333,2.35166666666667,48.6666666666667,1.2613016154594,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","engelhardti","no","nocturnal","scansorial","direct development","no free-living","no larva",0.0406252940911649
"33","Bolitoglossa_lignicolor",38,3.77,2.58,62,1.44064528692515,1,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","lignicolor","no","nocturnal","scansorial","direct development","no free-living","no larva",0.0128633796771181
"34","Bolitoglossa_marmorea",39,4.09166666666667,2.92,62.3333333333333,1.53056983387466,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","marmorea","no","nocturnal","scansorial","direct development","no free-living","no larva",0.0465366969651508
"35","Bolitoglossa_mexicana",40,4.35333333333333,2.96666666666667,80,1.92788054902655,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","mexicana","no","nocturnal","scansorial","direct development","no free-living","no larva",-0.0142913454062495
"36","Bolitoglossa_morio",41,3.31166666666667,2.29,56,1.42177585049763,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","morio","no","nocturnal","scansorial","direct development","no free-living","no larva",-0.00763849600832467
"37","Bolitoglossa_platydactyla",42,4.14833333333333,2.94166666666667,84,1.97625077023645,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","platydactyla","no","nocturnal","scansorial","direct development","no free-living","no larva",-0.0523971492074653
"38","Bolitoglossa_rostrata",43,3.515,2.36833333333333,47,1.18019632162372,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","rostrata","no","nocturnal","scansorial","direct development","no free-living","no larva",0.079852409990264
"39","Bolitoglossa_rufescens",44,2.58666666666667,1.78333333333333,33.6666666666667,0.877313587038634,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","rufescens","no","nocturnal","scansorial","direct development","no free-living","no larva",0.0639950234449014
"40","Bolitoglossa_subpalmata",45,3.21166666666667,2.425,45.6666666666667,1.11691943495519,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","subpalmata","no","nocturnal","scansorial","direct development","no free-living","no larva",0.0507779430012807
"41","Calotriton_asper",46,3.65,2.71666666666667,63.5066666666667,1.93787651468876,3,"Caudata","Salamandroidea","Salamandridae","Calotriton","asper","no","nocturnal","semiaquatic","metamorphosizing","free-living","both",-0.0096286287882611
"42","Chioglossa_lusitanica",47,2.54666666666667,1.89166666666667,45,1.20578806883832,3,"Caudata","Salamandroidea","Salamandridae","Chioglossa","lusitanica","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water",-0.0448088600511566
"43","Chiropterotriton_chiropterus",48,2.56333333333333,2.05166666666667,35.3333333333333,0.910840895105219,3,"Caudata","Salamandroidea","Plethodontidae","Chiropterotriton","chiropterus","no",NA,"scansorial","direct development","no free-living","no larva",0.0430679522240213
"44","Chiropterotriton_multidentatus",49,2.58833333333333,1.775,40.3333333333333,0.941655700247935,3,"Caudata","Salamandroidea","Plethodontidae","Chiropterotriton","multidentatus","no","nocturnal","scansorial","direct development","no free-living","no larva",0.000740418905818163
"45","Cynops_ensicauda",51,3.835,2.98,54,1.81104322103931,1,"Caudata","Salamandroidea","Salamandridae","Cynops","ensicauda","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.0688692854041789
"46","Cynops_pyrrhogaster",52,4.70833333333333,3.40666666666667,72,2.28877951712248,3,"Caudata","Salamandroidea","Salamandridae","Cynops","pyrrhogaster","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.056804967031764
"47","Cynops_wolterstorffi",53,4.46833333333333,3.23666666666667,72.6666666666667,2.24198593489615,3,"Caudata","Salamandroidea","Salamandridae","Cynops","wolterstorffi","no",NA,"aquatic","metamorphosizing","free-living","lentic water",0.0308422039533746
"48","Desmognathus_auriculatus",54,2.80166666666667,2.03,58.6666666666667,1.60362201765371,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","auriculatus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",-0.0966278580440149
"49","Desmognathus_brimleyorum",55,2.71666666666667,1.98,51,1.44073763094781,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","brimleyorum","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",-0.0607594260321673
"50","Desmognathus_conanti",56,2.58,2.01333333333333,53,1.43447580012026,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","conanti","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",-0.096703109592435
"51","Desmognathus_fuscus",57,3.14833333333333,2.46666666666667,60,1.58376896305387,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","fuscus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",-0.0538664082282239
"52","Desmognathus_imitator",58,2.63833333333333,1.90333333333333,45.3333333333333,1.31296876565508,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","imitator","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",-0.0320465847350808
"53","Desmognathus_monticola",59,3.535,2.55833333333333,61.6666666666667,1.85962839862077,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","monticola","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",-0.013192808921031
"54","Desmognathus_ochrophaeus",60,2.17833333333333,1.69,41,1.08399892410943,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","ochrophaeus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",-0.0799204892225565
"55","Desmognathus_quadramaculatus",61,3.74166666666667,2.63,68.3333333333333,1.81643807917099,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","quadramaculatus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",-0.0246164470472682
"56","Dicamptodon_aterrimus",62,5.64333333333333,4.39,120.333333333333,3.2542452303802,3,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","aterrimus","yes","nocturnal","aquatic","paedomorphic","free-living","lotic water",-0.0451387248494465
