"","Genus_Species","X","eye_av","cor_av","svl_av","rootmass_av","n","Order","Suborder","Family","Genus","Species","Gill_Presence","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat","pglsres.edsvl"
"117","Pleurodeles_waltl",131,4.15,2.66625,78.5,2.21191076229758,4,"Caudata","Salamandroidea","Salamandridae","Pleurodeles","waltl","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",-0.0284089552302018
"118","Pseudotriton_montanus",135,2.865,2.145,57,1.38730010917983,1,"Caudata","Salamandroidea","Plethodontidae","Pseudotriton","montanus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",-0.0767847119777882
"119","Pseudotriton_ruber",136,3.24166666666667,2.17,66.3333333333333,1.61103971448678,3,"Caudata","Salamandroidea","Plethodontidae","Pseudotriton","ruber","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",-0.0764670851071203
"120","Ranodon_sibiricus",137,4.97666666666667,4.14,88,2.19045788958219,3,"Caudata","Cryptobranchoidea","Hynobiidae","Ranodon","sibiricus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.0103085492076024
"121","Rhyacotriton_cascadae",138,3.30166666666667,2.35666666666667,48.6666666666667,1.14585876890656,3,"Caudata","Salamandroidea","Rhyacotritonidae","Rhyacotriton","cascadae","no",NA,"semiaquatic","metamorphosizing","free-living","lotic water",0.0404061194804562
"122","Rhyacotriton_olympicus",139,3.84166666666667,2.795,61.6666666666667,1.57541021870105,3,"Caudata","Salamandroidea","Rhyacotritonidae","Rhyacotriton","olympicus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.0229374522880744
"123","Rhyacotriton_variegatus",140,3.53333333333333,2.64166666666667,52.3333333333333,1.36521494885104,3,"Caudata","Salamandroidea","Rhyacotritonidae","Rhyacotriton","variegatus","no",NA,"semiaquatic","metamorphosizing","free-living","lotic water",0.044313241300731
"124","Salamandra_atra",141,4.4075,3.1525,69.5,1.73826459758008,2,"Caudata","Salamandroidea","Salamandridae","Salamandra","atra","no","nocturnal","terrestrial","direct development","no free-living","no larva",0.0405575123894495
"125","Salamandra_salamandra",142,5.765,3.63,90,2.53497508232688,1,"Caudata","Salamandroidea","Salamandridae","Salamandra","salamandra","no","both","terrestrial","metamorphosizing","free-living","lentic water",0.0662665131663863
"126","Salamandrella_keyserlingii",143,3.56,2.30833333333333,63.3333333333333,1.61029963762106,3,"Caudata","Cryptobranchoidea","Hynobiidae","Salamandrella","keyserlingii","no","nocturnal","terrestrial","metamorphosizing","free-living","lentic water",-0.019510373193914
"127","Salamandrina_terdigitata",144,2.64833333333333,1.77166666666667,34.3333333333333,0.910809701011475,3,"Caudata","Salamandroidea","Salamandridae","Salamandrina","terdigitata","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water",0.0673316972520825
"128","Stereochilus_marginatus",147,1.835,1.375,49.5,1.41870826196276,2,"Caudata","Salamandroidea","Plethodontidae","Stereochilus","marginatus","no",NA,"aquatic","metamorphosizing","free-living","lentic water",-0.220661631491195
"129","Taricha_granulosa",148,4.97333333333333,3.51,90.3333333333333,2.78479538718254,3,"Caudata","Salamandroidea","Salamandridae","Taricha","granulosa","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.000814733119281374
"130","Taricha_rivularis",149,5.46833333333333,3.92166666666667,68.3333333333333,2.46598820474599,3,"Caudata","Salamandroidea","Salamandridae","Taricha","rivularis","no","both","semiaquatic","metamorphosizing","free-living","lotic water",0.140173437999437
"131","Taricha_torosa",150,4.95333333333333,3.61833333333333,75.3333333333333,2.40372216470543,3,"Caudata","Salamandroidea","Salamandridae","Taricha","torosa","no","diurnal","semiaquatic","metamorphosizing","free-living","lentic water",0.0629204067475726
"132","Thorius_boreas",151,1.535,1.075,31,0.788373516310524,1,"Caudata","Salamandroidea","Plethodontidae","Thorius","boreas","no",NA,"subfossorial","direct development","no free-living","no larva",-0.133617756158323
"133","Thorius_pennatulus",152,1.40666666666667,0.981666666666667,19,0.600584780878617,3,"Caudata","Salamandroidea","Plethodontidae","Thorius","pennatulus","no",NA,"subfossorial","direct development","no free-living","no larva",0.000619375215880374
"134","Triturus_carnifex",153,3.75333333333333,2.73,61.6666666666667,1.51518827356168,3,"Caudata","Salamandroidea","Salamandridae","Triturus","carnifex","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.0128349087417153
"135","Triturus_cristatus",154,4.49,3.33666666666667,68,2.01160589833375,3,"Caudata","Salamandroidea","Salamandridae","Triturus","cristatus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.0562844090916124
"136","Triturus_karelinii",155,4.92,3.76,73.6666666666667,1.96006664324442,3,"Caudata","Salamandroidea","Salamandridae","Triturus","karelinii","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.0678553872599854
"137","Tylototriton_shanjing",156,4.885,3.17333333333333,74.6666666666667,2.33977311820402,3,"Caudata","Salamandroidea","Salamandridae","Tylototriton","shanjing","no","both","semiaquatic","metamorphosizing","free-living","lentic water",0.0600133034610665
"138","Tylototriton_taliangensis",157,4.23833333333333,2.765,72.6666666666667,2.15653647070153,3,"Caudata","Salamandroidea","Salamandridae","Tylototriton","taliangensis","no","both","semiaquatic","metamorphosizing","free-living","lentic water",0.0078917501462038
"139","Tylototriton_verrucosus",158,4.74166666666667,3.26166666666667,76.3333333333333,2.45207094171562,3,"Caudata","Salamandroidea","Salamandridae","Tylototriton","verrucosus","no","both","semiaquatic","metamorphosizing","free-living","lentic water",0.0393165362280679
