"","Family","Genus","Species","Sampled"
"126","Salamandridae","Ichthyosaura","alpestris",3
"127","Salamandridae","Lissotriton","boscai",3
"128","Salamandridae","Lissotriton","helveticus",3
"129","Salamandridae","Lissotriton","italicus",2
"130","Salamandridae","Lissotriton","montandoni",3
"131","Salamandridae","Lissotriton","vulgaris",2
"132","Salamandridae","Lyciasalamandra","luschani",3
"133","Salamandridae","Mertensiella","caucasica",1
"134","Salamandridae","Neurergus","crocatus",1
"135","Salamandridae","Neurergus","strauchii",3
"136","Salamandridae","Notophthalmus","viridescens",3
"137","Salamandridae","Ommatotriton ","vittatus",3
"138","Salamandridae","Pachytriton","brevipes",3
"139","Salamandridae","Paramesotriton","deloustali",2
"140","Salamandridae","Paramesotriton","hongkongensis",3
"141","Salamandridae","Pleurodeles","poireti",1
"142","Salamandridae","Pleurodeles","waltl",4
"143","Salamandridae","Pleurodeles","waltl_gilled",1
"144","Salamandridae","Salamandra","atra",2
"145","Salamandridae","Salamandra","salamandra",1
"146","Salamandridae","Salamandrina","terdigitata",3
"147","Salamandridae","Taricha","granulosa",3
"148","Salamandridae","Taricha","rivularis",3
"149","Salamandridae","Taricha","torosa",3
"150","Salamandridae","Triturus","carnifex",3
"151","Salamandridae","Triturus","cristatus",3
"152","Salamandridae","Triturus","karelinii",3
"153","Salamandridae","Tylototriton","shanjing",3
"154","Salamandridae","Tylototriton","taliangensis",3
"155","Salamandridae","Tylototriton","verrucosus",3
"156","Sirenidae","Pseudobranchus","striatus",3
"157","Sirenidae","Siren","intermedia",3
"158","Sirenidae","Siren","lacertina",3
