"","Genus_Species","eye_av","cor_av","svl_av","rootmass_av","n","Order","Suborder","Family","Genus","Species","Gill_Presence","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat"
"1","Ambystoma_amblycephalum",3.88,2.6,66.5,2.18417752171208,2,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","amblycephalum","yes","nocturnal","aquatic","paedomorphic","free-living","lentic water"
"2","Ambystoma_annulatum",3.37166666666667,2.24333333333333,82.6666666666667,2.13559679708487,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","annulatum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"3","Ambystoma_bishopi",2.4925,1.6675,58,1.52183676454671,2,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","bishopi","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"4","Ambystoma_californiense",4.97833333333333,3.55166666666667,106.666666666667,3.22010104843117,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","californiense","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"5","Ambystoma_dumerilii",NA,3.44333333333333,146.32,4.4109973154883,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","dumerilii","yes","nocturnal","aquatic","paedomorphic","free-living","lentic water"
"6","Ambystoma_gracile",5.36,4.06166666666667,84.3333333333333,2.2933024492182,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","gracile","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"7","Ambystoma_granulosum",3.405,2.165,63,1.7099759466767,1,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","granulosum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"8","Ambystoma_jeffersonianum",3.25833333333333,2.39,65.3333333333333,1.8261645700048,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","jeffersonianum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"9","Ambystoma_macrodactylum",3.91583333333333,2.6375,68,1.78744946118549,6,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","macrodactylum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"10","Ambystoma_maculatum",3.97833333333333,2.54,79,2.10190550215159,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","maculatum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"11","Ambystoma_mexicanum",5.02333333333333,2.88833333333333,123,3.79084287529876,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","mexicanum","yes","nocturnal","aquatic","paedomorphic","free-living","lentic water"
"12","Ambystoma_opacum",3.73,2.81833333333333,67.6666666666667,1.84217075692956,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","opacum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"13","Ambystoma_ordinarium",2.73,2.1,55,1.88238568417309,1,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","ordinarium","yes","diurnal","aquatic","paedomorphic","free-living","lotic water"
"14","Ambystoma_rosaceum",3.555,2.44,63,2.24612735373655,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","rosaceum","yes","nocturnal","aquatic","paedomorphic","free-living","lotic water"
"15","Ambystoma_talpoideum",2.895,1.92,46.5,1.29959012431625,2,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","talpoideum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"16","Ambystoma_texanum",2.975,1.995,74.6666666666667,1.87397252082396,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","texanum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"17","Ambystoma_tigrinum",5.65,3.87833333333333,97.6666666666667,2.86713735877051,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","tigrinum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"18","Amphiuma_means",NA,3.58166666666667,543,6.86354589441893,3,"Caudata","Salamandroidea","Amphiumidae","Amphiuma","means","yes","nocturnal","aquatic","paedomorphic","free-living","lentic water"
"19","Amphiuma_tridactylum",NA,2.83833333333333,545,6.01231271168679,3,"Caudata","Salamandroidea","Amphiumidae","Amphiuma","tridactylum","yes","nocturnal","aquatic","paedomorphic","free-living","lentic water"
"20","Andrias_davidianus",NA,4.145,338,8.41935303943248,2,"Caudata","Cryptobranchoidea","Cryptobranchidae","Andrias","davidianus","no","nocturnal","aquatic","metamorphosizing","free-living","lotic water"
"21","Andrias_japonicus",NA,3.44833333333333,326.333333333333,9.41957594785889,3,"Caudata","Cryptobranchoidea","Cryptobranchidae","Andrias","japonicus","no","nocturnal","aquatic","metamorphosizing","free-living","lotic water"
"22","Aneides_aeneus",3.76166666666667,2.67333333333333,60.3333333333333,1.45382516788292,3,"Caudata","Salamandroidea","Plethodontidae","Aneides","aeneus","no","nocturnal","terrestrial","direct development","no free-living","no larva"
"23","Aneides_ferreus",3.43666666666667,2.39166666666667,58,1.44875489013811,3,"Caudata","Salamandroidea","Plethodontidae","Aneides","ferreus","no","nocturnal","scansorial","direct development","no free-living","no larva"
"24","Aneides_flavipunctatus",3.17333333333333,2.13833333333333,60,1.29171605502366,3,"Caudata","Salamandroidea","Plethodontidae","Aneides","flavipunctatus","no","nocturnal","terrestrial","direct development","no free-living","no larva"
"25","Aneides_hardii",2.78333333333333,1.82333333333333,46.3333333333333,1.07538961483547,3,"Caudata","Salamandroidea","Plethodontidae","Aneides","hardii","no","nocturnal","subfossorial","direct development","no free-living","no larva"
"26","Aneides_lugubris",4.70833333333333,3.55333333333333,84.6666666666667,1.92732756743613,3,"Caudata","Salamandroidea","Plethodontidae","Aneides","lugubris","no","nocturnal","scansorial","direct development","no free-living","no larva"
"27","Aneides_niger",3.43666666666667,2.575,73.6666666666667,1.743307515018,3,"Caudata","Salamandroidea","Plethodontidae","Aneides","niger","no","nocturnal","semiaquatic","direct development","no free-living","no larva"
"28","Aneides_vagrans",3.45666666666667,2.47,68.6666666666667,1.57924447601026,3,"Caudata","Salamandroidea","Plethodontidae","Aneides","vagrans","no","nocturnal","scansorial","direct development","no free-living","no larva"
"29","Batrachoseps_attenuatus",1.91166666666667,1.36833333333333,42.3333333333333,0.993140763736866,3,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","attenuatus","no","nocturnal","subfossorial","direct development","no free-living","no larva"
