"","Genus_Species","X","Order","Suborder","Family","Genus","Species","Gill_Presence","SVL_mm","Mass_g","rootmass","ED_right_mm","ED_left_mm","eyemean","CD_right_mm","CD_left_mm","cormean","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat"
"22","Ambystoma_macrodactylum",22,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","macrodactylum","no",72,7.08,1.92019095323038,3.74,3.98,3.86,2.81,2.9,2.855,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"23","Ambystoma_macrodactylum",23,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","macrodactylum","no",73,9.72,2.13413598269404,4.02,3.99,4.005,2.82,2.63,2.725,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"24","Ambystoma_macrodactylum",24,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","macrodactylum","no",60,3.89,1.57271441390702,3.85,3.82,3.835,2.69,2.58,2.635,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"25","Ambystoma_macrodactylum",25,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","macrodactylum","no",72,4.93,1.70195852707763,4.37,4.21,4.29,2.49,2.33,2.41,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"26","Ambystoma_macrodactylum",26,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","macrodactylum","no",59,3.26,1.48276570743149,3.87,3.66,3.765,2.16,2.26,2.21,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"27","Ambystoma_maculatum",27,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","maculatum","no",63,7.35,1.94429628500738,3.72,3.61,3.665,2.38,2.24,2.31,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"28","Ambystoma_maculatum",28,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","maculatum","no",90,11.06,2.22801636093179,4.27,4.19,4.23,3.24,2.84,3.04,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"29","Ambystoma_maculatum",29,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","maculatum","no",84,9.71,2.13340386051559,4.22,3.86,4.04,2.37,2.17,2.27,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"30","Ambystoma_mexicanum",30,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","mexicanum","yes",110,33.75,3.23165203504783,4.6,4.84,4.72,3.24,3.04,3.14,"nocturnal","aquatic","paedomorphic","free-living","lentic water"
"31","Ambystoma_mexicanum",31,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","mexicanum","yes",133,74.32,4.20437940774627,5.66,5.55,5.605,2.86,2.65,2.755,"nocturnal","aquatic","paedomorphic","free-living","lentic water"
