"","Genus_Species","X","Order","Suborder","Family","Genus","Species","Gill_Presence","SVL_mm","Mass_g","rootmass","ED_right_mm","ED_left_mm","eyemean","CD_right_mm","CD_left_mm","cormean","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat"
"111","Bolitoglossa_mexicana",179,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","mexicana","no",96,10.36,2.17998372739866,5.12,4.9,5.01,3.22,3.22,3.22,"nocturnal","scansorial","direct development","no free-living","no larva"
"112","Bolitoglossa_morio",180,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","morio","no",61,3.74,1.55223403138159,3.26,3.29,3.275,2.27,2.43,2.35,"nocturnal","scansorial","direct development","no free-living","no larva"
"113","Bolitoglossa_morio",181,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","morio","no",55,2.83,1.41447565967103,3.56,3.38,3.47,2.37,2.07,2.22,"nocturnal","scansorial","direct development","no free-living","no larva"
"114","Bolitoglossa_morio",182,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","morio","no",52,2.19,1.29861786044028,3.32,3.06,3.19,2.26,2.34,2.3,"nocturnal","scansorial","direct development","no free-living","no larva"
"115","Bolitoglossa_platydactyla",183,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","platydactyla","no",95,7.8,1.98319248268077,4.28,4.36,4.32,3.4,3.23,3.315,"nocturnal","scansorial","direct development","no free-living","no larva"
"116","Bolitoglossa_platydactyla",184,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","platydactyla","no",85,11.76,2.27406273028119,4.23,3.97,4.1,2.63,2.88,2.755,"nocturnal","scansorial","direct development","no free-living","no larva"
"117","Bolitoglossa_platydactyla",185,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","platydactyla","no",72,4.67,1.6714970977474,3.94,4.11,4.025,2.8,2.71,2.755,"nocturnal","scansorial","direct development","no free-living","no larva"
"118","Bolitoglossa_rostrata",186,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","rostrata","no",53,2.1,1.28057916498749,3.84,3.53,3.685,2.61,2.48,2.545,"nocturnal","scansorial","direct development","no free-living","no larva"
"119","Bolitoglossa_rostrata",187,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","rostrata","no",45,1.54,1.15480035029155,3.45,3.49,3.47,2.37,2.33,2.35,"nocturnal","scansorial","direct development","no free-living","no larva"
"120","Bolitoglossa_rostrata",188,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","rostrata","no",43,1.35,1.10520944959212,3.44,3.34,3.39,2.2,2.22,2.21,"nocturnal","scansorial","direct development","no free-living","no larva"
"121","Bolitoglossa_rufescens",189,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","rufescens","no",34,0.8,0.928317766722556,2.63,2.38,2.505,1.66,1.68,1.67,"nocturnal","scansorial","direct development","no free-living","no larva"
"122","Bolitoglossa_rufescens",190,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","rufescens","no",36,0.68,0.879365934431636,2.89,2.72,2.805,1.83,1.87,1.85,"nocturnal","scansorial","direct development","no free-living","no larva"
"123","Bolitoglossa_rufescens",191,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","rufescens","no",31,0.56,0.824257059961711,2.47,2.43,2.45,1.86,1.8,1.83,"nocturnal","scansorial","direct development","no free-living","no larva"
"124","Bolitoglossa_subpalmata",192,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","subpalmata","no",50,1.69,1.19113842519643,3.3,3.56,3.43,2.53,2.63,2.58,"nocturnal","scansorial","direct development","no free-living","no larva"
"125","Bolitoglossa_subpalmata",193,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","subpalmata","no",42,1.2,1.06265856918261,3.15,3.15,3.15,2.49,2.41,2.45,"nocturnal","scansorial","direct development","no free-living","no larva"
"126","Bolitoglossa_subpalmata",194,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","subpalmata","no",45,1.32,1.09696131048652,3.1,3.01,3.055,2.37,2.12,2.245,"nocturnal","scansorial","direct development","no free-living","no larva"
"127","Calotriton_asper",335,"Caudata","Salamandroidea","Salamandridae","Calotriton","asper","no",60.42,6.4,1.85663553344511,3.71,3.58,3.645,2.61,2.59,2.6,"nocturnal","semiaquatic","metamorphosizing","free-living","both"
"128","Calotriton_asper",336,"Caudata","Salamandroidea","Salamandridae","Calotriton","asper","no",65.35,8.1,2.00829885024651,3.84,3.82,3.83,2.9,3.08,2.99,"nocturnal","semiaquatic","metamorphosizing","free-living","both"
"129","Calotriton_asper",337,"Caudata","Salamandroidea","Salamandridae","Calotriton","asper","no",64.75,7.4,1.94869516037466,3.31,3.64,3.475,2.51,2.61,2.56,"nocturnal","semiaquatic","metamorphosizing","free-living","both"
"130","Chioglossa_lusitanica",338,"Caudata","Salamandroidea","Salamandridae","Chioglossa","lusitanica","no",50,2.46,1.34993140940949,2.67,2.9,2.785,2.16,2.15,2.155,"nocturnal","terrestrial","metamorphosizing","free-living","lotic water"
"131","Chioglossa_lusitanica",339,"Caudata","Salamandroidea","Salamandridae","Chioglossa","lusitanica","no",42,1.28,1.08576704663796,2.3,2.4,2.35,1.68,1.72,1.7,"nocturnal","terrestrial","metamorphosizing","free-living","lotic water"
"132","Chioglossa_lusitanica",340,"Caudata","Salamandroidea","Salamandridae","Chioglossa","lusitanica","no",43,1.65,1.1816657504675,2.46,2.55,2.505,1.86,1.78,1.82,"nocturnal","terrestrial","metamorphosizing","free-living","lotic water"
"133","Chiropterotriton_chiropterus",195,"Caudata","Salamandroidea","Plethodontidae","Chiropterotriton","chiropterus","no",36,0.79,0.924433546537648,2.67,2.76,2.715,1.98,1.95,1.965,"NA","scansorial","direct development","no free-living","no larva"
"134","Chiropterotriton_chiropterus",196,"Caudata","Salamandroidea","Plethodontidae","Chiropterotriton","chiropterus","no",34,0.69,0.883655592240361,2.47,2.56,2.515,2.57,1.9,2.235,"NA","scansorial","direct development","no free-living","no larva"
"135","Chiropterotriton_chiropterus",197,"Caudata","Salamandroidea","Plethodontidae","Chiropterotriton","chiropterus","no",36,0.79,0.924433546537648,2.57,2.35,2.46,2.06,1.85,1.955,"NA","scansorial","direct development","no free-living","no larva"
"136","Chiropterotriton_multidentatus",198,"Caudata","Salamandroidea","Plethodontidae","Chiropterotriton","multidentatus","no",49,0.93,0.976100007668508,2.78,2.77,2.775,1.94,2.04,1.99,"nocturnal","scansorial","direct development","no free-living","no larva"
"137","Chiropterotriton_multidentatus",199,"Caudata","Salamandroidea","Plethodontidae","Chiropterotriton","multidentatus","no",37,0.79,0.924433546537648,2.63,2.68,2.655,1.77,1.97,1.87,"nocturnal","scansorial","direct development","no free-living","no larva"
"138","Chiropterotriton_multidentatus",200,"Caudata","Salamandroidea","Plethodontidae","Chiropterotriton","multidentatus","no",35,0.79,0.924433546537648,2.39,2.28,2.335,1.47,1.46,1.465,"nocturnal","scansorial","direct development","no free-living","no larva"
"139","Cryptobranchus_alleganiensis",59,"Caudata","Cryptobranchoidea","Cryptobranchidae","Cryptobranchus","alleganiensis","no",243,191.58,5.76478864896561,NA,NA,NA,3.27,3.16,3.215,"nocturnal","aquatic","metamorphosizing","free-living","lotic water"
"140","Cryptobranchus_alleganiensis",60,"Caudata","Cryptobranchoidea","Cryptobranchidae","Cryptobranchus","alleganiensis","no",251,251,6.30799354866327,NA,NA,NA,3.59,4.12,3.855,"nocturnal","aquatic","metamorphosizing","free-living","lotic water"
"141","Cryptobranchus_alleganiensis",61,"Caudata","Cryptobranchoidea","Cryptobranchidae","Cryptobranchus","alleganiensis","no",329,645,8.64012259771169,NA,NA,NA,3.85,4.52,4.185,"nocturnal","aquatic","metamorphosizing","free-living","lotic water"
"142","Cryptobranchus_alleganiensis",62,"Caudata","Cryptobranchoidea","Cryptobranchidae","Cryptobranchus","alleganiensis","no",310,556,8.22289851862149,NA,NA,NA,3.66,3.16,3.41,"nocturnal","aquatic","metamorphosizing","free-living","lotic water"
"143","Cynops_ensicauda",341,"Caudata","Salamandroidea","Salamandridae","Cynops","ensicauda","no",54,5.94,1.81104322103931,3.99,3.68,3.835,3.13,2.83,2.98,"nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"144","Cynops_pyrrhogaster",342,"Caudata","Salamandroidea","Salamandridae","Cynops","pyrrhogaster","no",71,12.03,2.29133475450119,4.82,4.49,4.655,3.53,3.44,3.485,"nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"145","Cynops_pyrrhogaster",343,"Caudata","Salamandroidea","Salamandridae","Cynops","pyrrhogaster","no",71,11.54,2.25979270816515,4.79,4.25,4.52,3.39,3.07,3.23,"nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"146","Cynops_pyrrhogaster",344,"Caudata","Salamandroidea","Salamandridae","Cynops","pyrrhogaster","no",74,12.41,2.31521108870109,4.86,5.04,4.95,3.74,3.27,3.505,"nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"147","Cynops_wolterstorffi",345,"Caudata","Salamandroidea","Salamandridae","Cynops","wolterstorffi","no",68,9.82,2.1414297372146,4.19,4.28,4.235,2.95,2.88,2.915,"NA","aquatic","metamorphosizing","free-living","lentic water"
"148","Cynops_wolterstorffi",346,"Caudata","Salamandroidea","Salamandridae","Cynops","wolterstorffi","no",78,12.49,2.32017537318758,4.91,4.78,4.845,3.57,3.55,3.56,"NA","aquatic","metamorphosizing","free-living","lentic water"
"149","Cynops_wolterstorffi",347,"Caudata","Salamandroidea","Salamandridae","Cynops","wolterstorffi","no",72,11.61,2.26435269428627,4.29,4.36,4.325,3.1,3.37,3.235,"NA","aquatic","metamorphosizing","free-living","lentic water"
"150","Desmognathus_auriculatus",201,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","auriculatus","no",57,3.94,1.57942402762961,2.65,2.68,2.665,2.06,2.01,2.035,"nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"151","Desmognathus_auriculatus",202,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","auriculatus","no",56,3.77,1.55637334172929,2.81,2.75,2.78,2.01,1.97,1.99,"nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"152","Desmognathus_auriculatus",203,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","auriculatus","no",63,4.7,1.67506868360223,2.93,2.99,2.96,2.11,2.02,2.065,"nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"153","Desmognathus_brimleyorum",204,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","brimleyorum","no",50,2.75,1.40101966532769,2.86,2.49,2.675,2.02,2.04,2.03,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"154","Desmognathus_brimleyorum",205,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","brimleyorum","no",50,2.55,1.36619720804723,2.85,2.93,2.89,2.1,1.82,1.96,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"155","Desmognathus_brimleyorum",206,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","brimleyorum","no",53,3.76,1.55499601946852,2.67,2.5,2.585,1.95,1.95,1.95,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"156","Desmognathus_conanti",207,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","conanti","no",58,3.04,1.44863128868835,2.93,2.99,2.96,2.27,2.15,2.21,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"157","Desmognathus_conanti",208,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","conanti","no",52,3.24,1.47972724459828,2.44,2.41,2.425,1.97,1.93,1.95,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"158","Desmognathus_conanti",209,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","conanti","no",49,2.6,1.37506886707414,2.34,2.37,2.355,1.94,1.82,1.88,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"159","Desmognathus_fuscus",210,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","fuscus","no",67,5.01,1.71111517149515,3.61,3.56,3.585,3.22,2.83,3.025,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"160","Desmognathus_fuscus",211,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","fuscus","no",63,4.35,1.63241190102949,3.08,3.2,3.14,2.31,2.2,2.255,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"161","Desmognathus_fuscus",212,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","fuscus","no",50,2.79,1.40777981663696,2.71,2.73,2.72,2.22,2.02,2.12,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"162","Desmognathus_imitator",213,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","imitator","no",41,2.05,1.27033409277248,2.51,2.8,2.655,1.94,2.04,1.99,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"163","Desmognathus_imitator",214,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","imitator","no",47,2.2,1.30059144685139,2.59,2.58,2.585,1.89,1.75,1.82,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"164","Desmognathus_imitator",215,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","imitator","no",48,2.56,1.36798075734136,2.68,2.67,2.675,1.76,2.04,1.9,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"165","Desmognathus_monticola",216,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","monticola","no",58,6.8,1.89453647437182,3.65,3.71,3.68,2.55,2.68,2.615,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"166","Desmognathus_monticola",217,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","monticola","no",66,7.01,1.91384166895593,3.66,3.44,3.55,2.64,2.42,2.53,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"167","Desmognathus_monticola",218,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","monticola","no",61,5.55,1.77050705253456,3.36,3.39,3.375,2.55,2.51,2.53,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"168","Desmognathus_ochrophaeus",219,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","ochrophaeus","no",38,0.86,0.950968541305815,2.11,2,2.055,1.65,1.55,1.6,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"169","Desmognathus_ochrophaeus",220,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","ochrophaeus","no",41,1.35,1.10520944959212,2.32,2.24,2.28,1.74,1.76,1.75,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"170","Desmognathus_ochrophaeus",221,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","ochrophaeus","no",44,1.71,1.19581878143035,2.25,2.15,2.2,1.85,1.59,1.72,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"171","Desmognathus_quadramaculatus",222,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","quadramaculatus","no",71,6.95,1.90836569719823,4.12,3.91,4.015,3.03,2.81,2.92,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"172","Desmognathus_quadramaculatus",223,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","quadramaculatus","no",66,5.06,1.71678867179923,3.66,3.64,3.65,2.58,2.71,2.645,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"173","Desmognathus_quadramaculatus",224,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","quadramaculatus","no",68,6.07,1.82415986851552,3.65,3.47,3.56,2.45,2.2,2.325,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"174","Dicamptodon_aterrimus",63,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","aterrimus","yes",132,45,3.55689330449006,6.08,6.14,6.11,4.58,4.47,4.525,"nocturnal","aquatic","paedomorphic","free-living","lotic water"
"175","Dicamptodon_aterrimus",64,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","aterrimus","yes",114,38,3.36197540679896,5.32,5.17,5.245,4.36,3.82,4.09,"nocturnal","aquatic","paedomorphic","free-living","lotic water"
"176","Dicamptodon_aterrimus",65,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","aterrimus","yes",115,23,2.84386697985157,5.69,5.46,5.575,4.55,4.56,4.555,"nocturnal","aquatic","paedomorphic","free-living","lotic water"
"177","Dicamptodon_copei",66,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","copei","yes",95,23.06,2.8463377603992,4.89,4.64,4.765,3.55,3.66,3.605,"nocturnal","aquatic","paedomorphic","free-living","lotic water"
"178","Dicamptodon_copei",67,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","copei","yes",96,17.1,2.5763134657052,4.01,3.73,3.87,3.18,3.14,3.16,"nocturnal","aquatic","paedomorphic","free-living","lotic water"
"179","Dicamptodon_ensatus",68,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","ensatus","no",143,70.2,4.12520660122242,8.17,8.35,8.26,6.12,6.17,6.145,"nocturnal","terrestrial","metamorphosizing","free-living","lotic water"
"180","Dicamptodon_ensatus",69,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","ensatus","no",130,69.9,4.11932184772491,7.17,7.47,7.32,5.38,5.95,5.665,"nocturnal","terrestrial","metamorphosizing","free-living","lotic water"
"181","Dicamptodon_ensatus",70,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","ensatus","no",174,101.74,4.66835539789376,9.7,9.64,9.67,6.35,6.57,6.46,"nocturnal","terrestrial","metamorphosizing","free-living","lotic water"
"182","Dicamptodon_tenebrosus",71,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","tenebrosus","no",136,79.43,4.29861141390422,8.22,7.87,8.045,6.78,6.05,6.415,"nocturnal","subfossorial","metamorphosizing","free-living","lotic water"
"183","Dicamptodon_tenebrosus",72,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","tenebrosus","no",158,131.74,5.08829817418472,8.94,8.17,8.555,5.69,5.14,5.415,"nocturnal","subfossorial","metamorphosizing","free-living","lotic water"
"184","Dicamptodon_tenebrosus",73,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","tenebrosus","no",129,53.57,3.76970369657275,7.43,7.23,7.33,6.05,6.02,6.035,"nocturnal","subfossorial","metamorphosizing","free-living","lotic water"
"185","Echinotriton_andersoni",348,"Caudata","Salamandroidea","Salamandridae","Echinotriton","andersoni","no",104,23.81,2.87686709218217,5.4,5.47,5.435,3.28,3.16,3.22,"NA","terrestrial","metamorphosizing","free-living","lentic water"
"186","Echinotriton_andersoni",349,"Caudata","Salamandroidea","Salamandridae","Echinotriton","andersoni","no",90,25.11,2.92830002300552,5.17,5.15,5.16,3.46,3.27,3.365,"NA","terrestrial","metamorphosizing","free-living","lentic water"
"187","Echinotriton_andersoni",350,"Caudata","Salamandroidea","Salamandridae","Echinotriton","andersoni","no",83,20.22,2.72433420874775,5,4.75,4.875,3.2,2.95,3.075,"NA","terrestrial","metamorphosizing","free-living","lentic water"
"188","Ensatina_eschscholtzii",225,"Caudata","Salamandroidea","Plethodontidae","Ensatina","eschscholtzii","no",72,6.29,1.84593702938082,5.11,4.57,4.84,4.14,3.88,4.01,"nocturnal","terrestrial","direct development","no free-living","no larva"
"189","Ensatina_eschscholtzii",226,"Caudata","Salamandroidea","Plethodontidae","Ensatina","eschscholtzii","no",80,9.42,2.1119500102952,5.33,5.22,5.275,4.12,4.01,4.065,"nocturnal","terrestrial","direct development","no free-living","no larva"
"190","Ensatina_eschscholtzii",227,"Caudata","Salamandroidea","Plethodontidae","Ensatina","eschscholtzii","no",75,7.74,1.97809427900149,4.55,4.32,4.435,3.48,3.36,3.42,"nocturnal","terrestrial","direct development","no free-living","no larva"
"191","Euproctus_montanus",351,"Caudata","Salamandroidea","Salamandridae","Euproctus","montanus","no",52,4.65,1.66910753466409,3.54,3.51,3.525,2.14,2.32,2.23,"nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"192","Euproctus_montanus",352,"Caudata","Salamandroidea","Salamandridae","Euproctus","montanus","no",45,2.37,1.33326388527168,3.45,2.88,3.165,2.35,2.14,2.245,"nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"193","Eurycea_bislineata",228,"Caudata","Salamandroidea","Plethodontidae","Eurycea","bislineata","no",45,1.55,1.15729452726294,2.23,2.26,2.245,1.78,1.59,1.685,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"194","Eurycea_bislineata",229,"Caudata","Salamandroidea","Plethodontidae","Eurycea","bislineata","no",46,1.86,1.2298089464641,2.24,2.29,2.265,1.72,1.84,1.78,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"195","Eurycea_bislineata",230,"Caudata","Salamandroidea","Plethodontidae","Eurycea","bislineata","no",41,1.38,1.11333628152095,2.1,2.11,2.105,1.64,1.66,1.65,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"196","Eurycea_cirrigera",231,"Caudata","Salamandroidea","Plethodontidae","Eurycea","cirrigera","no",37,1.07,1.02280912176967,2.34,2.35,2.345,1.92,2,1.96,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"197","Eurycea_cirrigera",232,"Caudata","Salamandroidea","Plethodontidae","Eurycea","cirrigera","no",42,1.19,1.05969850212481,2.35,2.28,2.315,1.78,1.79,1.785,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"198","Eurycea_cirrigera",233,"Caudata","Salamandroidea","Plethodontidae","Eurycea","cirrigera","no",36,0.98,0.993288388379269,2.09,2.32,2.205,1.85,1.66,1.755,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"199","Eurycea_guttolineata",234,"Caudata","Salamandroidea","Plethodontidae","Eurycea","guttolineata","no",56,3.99,1.58607711386277,3.32,3.36,3.34,2.36,2.58,2.47,"nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"200","Eurycea_guttolineata",235,"Caudata","Salamandroidea","Plethodontidae","Eurycea","guttolineata","no",51,2.09,1.27854326463054,3.65,3.53,3.59,2.8,2.88,2.84,"nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"201","Eurycea_guttolineata",236,"Caudata","Salamandroidea","Plethodontidae","Eurycea","guttolineata","no",47,1.98,1.25570723564389,3.18,2.93,3.055,2.27,2.16,2.215,"nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"202","Eurycea_longicauda",237,"Caudata","Salamandroidea","Plethodontidae","Eurycea","longicauda","no",52,1.79,1.2141835471794,3.6,3.48,3.54,2.5,2.73,2.615,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"203","Eurycea_longicauda",238,"Caudata","Salamandroidea","Plethodontidae","Eurycea","longicauda","no",56,2.46,1.34993140940949,3.4,3.29,3.345,2.55,2.57,2.56,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"204","Eurycea_longicauda",239,"Caudata","Salamandroidea","Plethodontidae","Eurycea","longicauda","no",54,2.47,1.35175811178595,3.45,3.41,3.43,2.47,2.52,2.495,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"205","Eurycea_longicauda",240,"Caudata","Salamandroidea","Plethodontidae","Eurycea","longicauda","no",58,2.36,1.33138604632837,3.38,3.34,3.36,2.45,2.67,2.56,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"206","Eurycea_longicauda",241,"Caudata","Salamandroidea","Plethodontidae","Eurycea","longicauda","no",60,3.48,1.51539697033502,3.67,3.61,3.64,2.72,2.77,2.745,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"207","Eurycea_longicauda",242,"Caudata","Salamandroidea","Plethodontidae","Eurycea","longicauda","no",48,1.82,1.22092914974679,3.48,2.82,3.15,2.33,2.15,2.24,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"208","Eurycea_longicauda",243,"Caudata","Salamandroidea","Plethodontidae","Eurycea","longicauda","no",47,1.28,1.08576704663796,2.98,3.04,3.01,2.32,2.3,2.31,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"209","Eurycea_lucifuga",244,"Caudata","Salamandroidea","Plethodontidae","Eurycea","lucifuga","no",61,1.85,1.22760102619215,3.98,4.15,4.065,3.21,3.07,3.14,"nocturnal","scansorial","metamorphosizing","free-living","both"
"210","Eurycea_lucifuga",245,"Caudata","Salamandroidea","Plethodontidae","Eurycea","lucifuga","no",61,1.39,1.11601902992092,3.63,3.49,3.56,2.8,2.23,2.515,"nocturnal","scansorial","metamorphosizing","free-living","both"
"211","Eurycea_lucifuga",246,"Caudata","Salamandroidea","Plethodontidae","Eurycea","lucifuga","no",61,2.5,1.35720880829745,3.47,3.32,3.395,2.15,2.33,2.24,"nocturnal","scansorial","metamorphosizing","free-living","both"
"212","Eurycea_nana",247,"Caudata","Salamandroidea","Plethodontidae","Eurycea","nana","yes",29,0.36,0.711378660898013,NA,NA,NA,1.15,1.15,1.15,"NA","aquatic","paedomorphic","free-living","lotic water"
"213","Eurycea_nana",248,"Caudata","Salamandroidea","Plethodontidae","Eurycea","nana","yes",26,0.32,0.683990378670679,NA,NA,NA,1.17,1.1,1.135,"NA","aquatic","paedomorphic","free-living","lotic water"
"214","Eurycea_nana",249,"Caudata","Salamandroidea","Plethodontidae","Eurycea","nana","yes",24,0.25,0.629960524947437,NA,NA,NA,1,1,1,"NA","aquatic","paedomorphic","free-living","lotic water"
"215","Eurycea_neotenes",250,"Caudata","Salamandroidea","Plethodontidae","Eurycea","neotenes","yes",35.47,1.1,1.03228011545637,NA,NA,NA,1.43,1.21,1.32,"NA","aquatic","paedomorphic","free-living","lotic water"
"216","Eurycea_neotenes",251,"Caudata","Salamandroidea","Plethodontidae","Eurycea","neotenes","yes",35.89,1.1,1.03228011545637,NA,NA,NA,1.89,1.64,1.765,"NA","aquatic","paedomorphic","free-living","lotic water"
"217","Eurycea_quadridigitata",252,"Caudata","Salamandroidea","Plethodontidae","Eurycea","quadridigitata","no",29,0.44,0.760590492152278,1.66,1.97,1.815,1.33,1.55,1.44,"nocturnal","semiaquatic","metamorphosizing","free-living","both"
"218","Eurycea_quadridigitata",253,"Caudata","Salamandroidea","Plethodontidae","Eurycea","quadridigitata","no",27,0.38,0.724315644344174,1.68,1.78,1.73,1.41,1.41,1.41,"nocturnal","semiaquatic","metamorphosizing","free-living","both"
"219","Eurycea_quadridigitata",254,"Caudata","Salamandroidea","Plethodontidae","Eurycea","quadridigitata","no",31,0.44,0.760590492152278,1.92,1.92,1.92,1.55,1.7,1.625,"nocturnal","semiaquatic","metamorphosizing","free-living","both"
"220","Eurycea_rathbuni",255,"Caudata","Salamandroidea","Plethodontidae","Eurycea","rathbuni","yes",51,2.02,1.26410686486327,NA,NA,NA,0.54,0.55,0.545,"NA","aquatic","paedomorphic","free-living","lentic water"
"221","Eurycea_rathbuni",256,"Caudata","Salamandroidea","Plethodontidae","Eurycea","rathbuni","yes",55,3.01,1.44385029256496,NA,NA,NA,0.61,0.75,0.68,"NA","aquatic","paedomorphic","free-living","lentic water"
"222","Eurycea_rathbuni",257,"Caudata","Salamandroidea","Plethodontidae","Eurycea","rathbuni","yes",42,1.3,1.09139288306111,NA,NA,NA,0.62,0.62,0.62,"NA","aquatic","paedomorphic","free-living","lentic water"
"223","Eurycea_tynerensis",258,"Caudata","Salamandroidea","Plethodontidae","Eurycea","tynerensis","no",40,1.1,1.03228011545637,1.93,1.91,1.92,1.34,1.4,1.37,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
